Date,Inverted Position,Trend, Inverted Position
2023-10-23,46,Norweżka,
2023-10-23,45,#F1PL,
2023-10-23,44,DONT LIE,
2023-10-23,43,#woronicza17,
2023-10-23,42,Marc Guiu,
2023-10-23,41,Biejat,
2023-10-23,40,W 2023,
2023-10-23,39,Fogiel,
2023-10-23,38,szrot,
2023-10-23,37,hobi,
2023-10-23,36,Juve,
2023-10-23,35,Lando,
2023-10-23,34,Lewis,
2023-10-23,33,Wojtunik,
2023-10-23,32,Żydów,
2023-10-23,31,SEVENTEEN,
2023-10-23,30,Ikonowicz,
2023-10-23,29,Norwegian,
2023-10-23,28,Do Rzeczy,
2023-10-23,27,Balcerowicza,
2023-10-23,26,Ajax,
2023-10-23,25,Miłego,
2023-10-23,24,Lyon,
2023-10-23,23,Argentynie,
2023-10-23,22,Dmowski,
2023-10-23,21,Fermin,
2023-10-23,20,przygarnąć,
2023-10-23,19,zaplątani,
2023-10-23,18,Hamiltona,
2023-10-23,17,Maxa,
2023-10-23,16,Widzew,
2023-10-23,15,Ferran,
2023-10-23,14,Kosta,
2023-10-23,13,GP USA,
2023-10-23,12,Mołek,
2023-10-23,11,leclerca,
2023-10-23,10,Norway,
2023-10-23,9,Cancelo,
2023-10-23,8,the $cake airdrop,
2023-10-23,7,Milei,
2023-10-23,6,Inigo,
2023-10-23,5,Ferrari,
2023-10-23,4,spinacze,
2023-10-23,3,dawid podsiadło,
2023-10-23,2,Ter Stegen,
2023-10-23,1,Lucieniu,
2023-10-23,50,#ViaF1,
2023-10-23,49,#AllOfThoseVoices,
2023-10-23,48,#ZamachNaWybory,
2023-10-23,47,Norwegii,
2023-10-23,46,Norweżka,
2023-10-23,45,#F1PL,
2023-10-23,44,DONT LIE,
2023-10-23,43,Fogiel,
2023-10-23,42,#wloskarobota,
2023-10-23,41,Marc Guiu,
2023-10-23,40,Biejat,
2023-10-23,39,W 2023,
2023-10-23,38,Lewis,
2023-10-23,37,szrot,
2023-10-23,36,Juve,
2023-10-23,35,Lando,
2023-10-23,34,Norwegian,
2023-10-23,33,Wojtunik,
2023-10-23,32,Żydów,
2023-10-23,31,Ikonowicz,
2023-10-23,30,Balcerowicza,
2023-10-23,29,Hamilton,
2023-10-23,28,Do Rzeczy,
2023-10-23,27,Miłego,
2023-10-23,26,Ajax,
2023-10-23,25,Lyon,
2023-10-23,24,SEVENTEEN,
2023-10-23,23,Argentynie,
2023-10-23,22,Fermin,
2023-10-23,21,Cancelo,
2023-10-23,20,Mołek,
2023-10-23,19,przygarnąć,
2023-10-23,18,zaplątani,
2023-10-23,17,Maxa,
2023-10-23,16,felixa,
2023-10-23,15,Ferran,
2023-10-23,14,Kosta,
2023-10-23,13,GP USA,
2023-10-23,12,horały,
2023-10-23,11,Leclerca,
2023-10-23,10,Widzew,
2023-10-23,9,Norway,
2023-10-23,8,Śląsk,
2023-10-23,7,The $CAKE Airdrop,
2023-10-23,6,Ferrari,
2023-10-23,5,Milei,
2023-10-23,4,spinacze,
2023-10-23,3,Warzecha,
2023-10-23,2,Ter Stegen,
2023-10-23,1,Dawid Podsiadło,
2023-10-23,50,#ViaF1,
2023-10-23,49,#AllOfThoseVoices,
2023-10-23,48,#ZamachNaWybory,
2023-10-23,47,Norwegii,
2023-10-23,46,Norweżka,
2023-10-23,45,#F1PL,
2023-10-23,44,#wloskarobota,
2023-10-23,43,Fogiel,
2023-10-23,42,DONT LIE,
2023-10-23,41,Marc Guiu,
2023-10-23,40,W 2023,
2023-10-23,39,Lando,
2023-10-23,38,Biejat,
2023-10-23,37,Lewis,
2023-10-23,36,Lewis,
2023-10-23,35,szrot,
2023-10-23,34,Miłego,
2023-10-23,33,Juve,
2023-10-23,32,Norwegian,
2023-10-23,31,Ajax,
2023-10-23,30,SEVENTEEN,
2023-10-23,29,Wojtunik,
2023-10-23,28,Ikonowicz,
2023-10-23,27,Żydów,
2023-10-23,26,Lyon,
2023-10-23,25,Balcerowicza,
2023-10-23,24,Maxa,
2023-10-23,23,Argentynie,
2023-10-23,22,Ferrari,
2023-10-23,21,Do Rzeczy,
2023-10-23,20,Fermin,
2023-10-23,19,Cancelo,
2023-10-23,18,Mołek,
2023-10-23,17,przygarnąć,
2023-10-23,16,Śląsk,
2023-10-23,15,zaplątani,
2023-10-23,14,Felixa,
2023-10-23,13,Widzewa,
2023-10-23,12,Leclerca,
2023-10-23,11,Ferran,
2023-10-23,10,Kosta,
2023-10-23,9,GP USA,
2023-10-23,8,horały,
2023-10-23,7,Lucieniu,
2023-10-23,6,Norway,
2023-10-23,5,Alonso,
2023-10-23,4,Javier Milei,
2023-10-23,3,Spinacze,
2023-10-23,2,Warzecha,
2023-10-23,1,The $CAKE Airdrop,
2023-10-23,50,#ViaF1,
2023-10-23,49,#AllOfThoseVoices,
2023-10-23,48,Norwegii,
2023-10-23,47,Norweżka,
2023-10-23,46,#ZamachNaWybory,
2023-10-23,45,#F1PL,
2023-10-23,44,DONT LIE,
2023-10-23,43,Fogiel,
2023-10-23,42,#wloskarobota,
2023-10-23,41,Miłego,
2023-10-23,40,Biejat,
2023-10-23,39,W 2023,
2023-10-23,38,Marc Guiu,
2023-10-23,37,Lando,
2023-10-23,36,Lewis,
2023-10-23,35,Lewis,
2023-10-23,34,Dobrego,
2023-10-23,33,szrot,
2023-10-23,32,Wojtunik,
2023-10-23,31,Norwegian,
2023-10-23,30,Juve,
2023-10-23,29,San Siro,
2023-10-23,28,Ajax,
2023-10-23,27,Żydów,
2023-10-23,26,Ikonowicz,
2023-10-23,25,Maxa,
2023-10-23,24,Colby,
2023-10-23,23,Lyon,
2023-10-23,22,Cancelo,
2023-10-23,21,GP USA,
2023-10-23,20,Ferrari,
2023-10-23,19,Do Rzeczy,
2023-10-23,18,Leclerca,
2023-10-23,17,widzewie,
2023-10-23,16,Fermin,
2023-10-23,15,Mołek,
2023-10-23,14,przygarnąć,
2023-10-23,13,Śląsk,
2023-10-23,12,zaplątani,
2023-10-23,11,Balcerowicza,
2023-10-23,10,Felixa,
2023-10-23,9,Ferran,
2023-10-23,8,Kosta,
2023-10-23,7,Argentynie,
2023-10-23,6,horały,
2023-10-23,5,Brejza,
2023-10-23,4,Lucieniu,
2023-10-23,3,Górnika,
2023-10-23,2,The $CAKE Airdrop,
2023-10-23,1,Alonso,
2023-10-23,50,#ViaF1,
2023-10-23,49,#AllOfThoseVoices,
2023-10-23,48,#ZamachNaWybory,
2023-10-23,47,#F1PL,
2023-10-23,46,Norweżka,
2023-10-23,45,Norwegii,
2023-10-23,44,Dobrego,
2023-10-23,43,#wloskarobota,
2023-10-23,42,DONT LIE,
2023-10-23,41,Kazimierz Deyna,
2023-10-23,40,Miłego,
2023-10-23,39,Marc Guiu,
2023-10-23,38,Biejat,
2023-10-23,37,Fogiel,
2023-10-23,36,W 2023,
2023-10-23,35,Lando,
2023-10-23,34,Lewis,
2023-10-23,33,Lewis,
2023-10-23,32,Szrot,
2023-10-23,31,Wojtunik,
2023-10-23,30,Juve,
2023-10-23,29,Norwegian,
2023-10-23,28,San Siro,
2023-10-23,27,Josue,
2023-10-23,26,Ajax,
2023-10-23,25,Cześć Iza,
2023-10-23,24,sebastian szymański,
2023-10-23,23,Ikonowicz,
2023-10-23,22,Śląsk,
2023-10-23,21,Maxa,
2023-10-23,20,Lech Kaczyński,
2023-10-23,19,Colby,
2023-10-23,18,Widzew,
2023-10-23,17,Lyon,
2023-10-23,16,Cancelo,
2023-10-23,15,GP USA,
2023-10-23,14,Żydów,
2023-10-23,13,Leclerca,
2023-10-23,12,Kosta,
2023-10-23,11,Fermin,
2023-10-23,10,Mołek,
2023-10-23,9,przygarnąć,
2023-10-23,8,Raków,
2023-10-23,7,zaplątani,
2023-10-23,6,Udanego,
2023-10-23,5,Felixa,
2023-10-23,4,Lucieniu,
2023-10-23,3,Ferran,
2023-10-23,2,Inigo,
2023-10-23,1,Ferrari,
2023-10-23,50,Miłego,
2023-10-23,49,#ViaF1,
2023-10-23,48,Dobrego,
2023-10-23,47,#F1PL,
2023-10-23,46,#allofthosevoices,
2023-10-23,45,Norweżka,
2023-10-23,44,Norwegii,
2023-10-23,43,#ZamachNaWybory,
2023-10-23,42,#widrch,
2023-10-23,41,DONT LIE,
2023-10-23,40,Fogiel,
2023-10-23,39,Kazimierz Deyna,
2023-10-23,38,Marc Guiu,
2023-10-23,37,Biejat,
2023-10-23,36,rosołek,
2023-10-23,35,W 2023,
2023-10-23,34,Juve,
2023-10-23,33,Lando,
2023-10-23,32,Lewis,
2023-10-23,31,Lewis,
2023-10-23,30,Szrot,
2023-10-23,29,Dzień Dobry,
2023-10-23,28,Wojtunik,
2023-10-23,27,Cześć,
2023-10-23,26,San Siro,
2023-10-23,25,josue,
2023-10-23,24,Ajax,
2023-10-23,23,Dmowskiego,
2023-10-23,22,sebastian szymański,
2023-10-23,21,Ikonowicz,
2023-10-23,20,Zbyszku,
2023-10-23,19,Siemoniak,
2023-10-23,18,Śląsk,
2023-10-23,17,Libanie,
2023-10-23,16,Maxa,
2023-10-23,15,xaviego,
2023-10-23,14,colby,
2023-10-23,13,Żydów,
2023-10-23,12,Widzewa,
2023-10-23,11,Hezbollahu,
2023-10-23,10,Lyon,
2023-10-23,9,Kosta,
2023-10-23,8,Fermin,
2023-10-23,7,Cancelo,
2023-10-23,6,przygarnąć,
2023-10-23,5,Raków,
2023-10-23,4,zaplątani,
2023-10-23,3,exposito,
2023-10-23,2,Leclerca,
2023-10-23,1,Felixa,
2023-10-23,50,Miłego,
2023-10-23,49,#ViaF1,
2023-10-23,48,Dobrego,
2023-10-23,47,Zbyszku,
2023-10-23,46,#allofthosevoices,
2023-10-23,45,Norweżka,
2023-10-23,44,#wloskarobota,
2023-10-23,43,#F1PL,
2023-10-23,42,#ZamachNaWybory,
2023-10-23,41,Norwegii,
2023-10-23,40,dont lie,
2023-10-23,39,Biejat,
2023-10-23,38,Marc Guiu,
2023-10-23,37,rosołek,
2023-10-23,36,Cześć,
2023-10-23,35,W 2023,
2023-10-23,34,wojtunik,
2023-10-23,33,Juve,
2023-10-23,32,Lando,
2023-10-23,31,Lewis,
2023-10-23,30,Szrot,
2023-10-23,29,grzegorza borysa,
2023-10-23,28,augustyniak,
2023-10-23,27,Norwegian,
2023-10-23,26,Cancelo,
2023-10-23,25,San Siro,
2023-10-23,24,Josue,
2023-10-23,23,Dzień Dobry,
2023-10-23,22,Ajax,
2023-10-23,21,felixa,
2023-10-23,20,Lyon,
2023-10-23,19,Widzewa,
2023-10-23,18,GP USA,
2023-10-23,17,Ikonowicz,
2023-10-23,16,sebastian szymański,
2023-10-23,15,Yamal,
2023-10-23,14,Siemoniak,
2023-10-23,13,Libanie,
2023-10-23,12,Śląsk,
2023-10-23,11,Max Verstappen,
2023-10-23,10,xaviego,
2023-10-23,9,kacper sztuka,
2023-10-23,8,rosołkiem,
2023-10-23,7,Witam,
2023-10-23,6,colby,
2023-10-23,5,Żydów,
2023-10-23,4,Maxa,
2023-10-23,3,Kosta,
2023-10-23,2,Hezbollahu,
2023-10-23,1,Leclerca,
2023-10-23,50,#viaF1,
2023-10-23,49,Miłego,
2023-10-23,48,#plusliga,
2023-10-23,47,#górrcz,
2023-10-23,46,Zbyszku,
2023-10-23,45,Norweżka,
2023-10-23,44,#F1PL,
2023-10-23,43,#allofthosevoices,
2023-10-23,42,Norwegii,
2023-10-23,41,Dobrego,
2023-10-23,40,DONT LIE,
2023-10-23,39,Cześć,
2023-10-23,38,Biejat,
2023-10-23,37,Marc Guiu,
2023-10-23,36,Dzień Dobry,
2023-10-23,35,rosołek,
2023-10-23,34,W 2023,
2023-10-23,33,wojtunik,
2023-10-23,32,Juve,
2023-10-23,31,Lando,
2023-10-23,30,Ajax,
2023-10-23,29,Lewis,
2023-10-23,28,Szrot,
2023-10-23,27,grzegorza borysa,
2023-10-23,26,augustyniak,
2023-10-23,25,Cancelo,
2023-10-23,24,San Siro,
2023-10-23,23,Josue,
2023-10-23,22,felixa,
2023-10-23,21,Lyon,
2023-10-23,20,Widzewa,
2023-10-23,19,GP USA,
2023-10-23,18,Ikonowicz,
2023-10-23,17,sebastian szymański,
2023-10-23,16,Yamal,
2023-10-23,15,Inigo,
2023-10-23,14,Siemoniak,
2023-10-23,13,Kosta,
2023-10-23,12,Śląsk,
2023-10-23,11,Max Verstappen,
2023-10-23,10,mp motorsport,
2023-10-23,9,Norwegian,
2023-10-23,8,Żydów,
2023-10-23,7,xaviego,
2023-10-23,6,kacper sztuka,
2023-10-23,5,rosołkiem,
2023-10-23,4,Giroud,
2023-10-23,3,colby,
2023-10-23,2,rakowa,
2023-10-23,1,Maxa,
2023-10-23,50,#viaF1,
2023-10-23,49,#plusliga,
